"id","cost_per_hour","total_hours","fixed_cost","actual_hours","actual_fixed_cost","cost_ftask_id","cost_user_id","cost_story_id","location","created_at","updated_at"
"2",20,30,0,20,0,NULL,NULL,"1",1,"2024-07-10 21:04:42.876728","2024-07-10 21:04:42.876728"
"3",0,0,300,0,500,NULL,NULL,"2",2,"2024-07-11 05:20:58.350698","2024-07-11 05:20:58.350698"
"4",30,40,0,20,0,NULL,NULL,"3",1,"2024-07-11 13:25:33.568406","2024-07-11 13:25:33.568406"
"5",95,32,0,96,0,"2600","7","0",0,"2024-07-12 01:18:07.434785","2024-07-12 01:18:07.434785"
"6",95,112,0,40,0,"2610","12","0",0,"2024-07-12 01:19:45.679946","2024-07-12 01:19:45.679946"
"7",95,112,0,40,0,"2610","12","0",0,"2024-07-12 01:29:04.909199","2024-07-12 01:29:04.909199"
"8",95,24,0,88,0,"2601","7","0",0,"2024-07-12 01:30:17.555136","2024-07-12 01:30:17.555136"
"9",95,32,0,104,0,"2599","7","0",0,"2024-07-12 01:31:41.139093","2024-07-12 01:31:41.139093"
"10",95,64,0,80,0,"2603","3","0",0,"2024-07-12 01:39:00.821797","2024-07-12 01:39:00.821797"
"11",95,64,0,64,0,"2609","3","0",0,"2024-07-12 01:40:16.591408","2024-07-12 01:40:16.591408"
"12",95,32,0,88,0,"2602","3","0",0,"2024-07-12 01:41:21.808707","2024-07-12 01:41:21.808707"
"13",95,32,0,40,0,"2611","3","0",0,"2024-07-12 01:42:22.423412","2024-07-12 01:42:22.423412"
"14",95,120,0,16,0,"2614","13","0",0,"2024-07-12 01:43:43.68999","2024-07-12 01:43:43.68999"
"15",95,16,0,40,0,"2626","7","0",0,"2024-07-12 01:47:01.435349","2024-07-12 01:47:01.435349"
"16",95,16,0,64,0,"2629","7","0",0,"2024-07-12 01:49:27.231321","2024-07-12 01:49:27.231321"
"17",95,24,0,8,0,"2632","7","0",0,"2024-07-12 01:51:05.995119","2024-07-12 01:51:05.995119"
"18",95,8,0,16,0,"2635","7","0",0,"2024-07-12 01:54:06.99296","2024-07-12 01:54:06.99296"
"19",45,120,0,48,0,"2638","15","0",0,"2024-07-12 02:02:29.980464","2024-07-12 02:02:29.980464"
"20",45,120,0,64,0,"2641","15","0",0,"2024-07-12 02:04:49.810687","2024-07-12 02:04:49.810687"
"21",45,120,0,64,0,"2641","15","0",0,"2024-07-12 02:11:32.391395","2024-07-12 02:11:32.391395"
"22",45,120,0,160,0,"2644","15","0",0,"2024-07-12 02:12:23.389213","2024-07-12 02:12:23.389213"
"23",45,40,0,136,0,"2647","15","0",0,"2024-07-12 02:13:02.022661","2024-07-12 02:13:02.022661"
"24",45,8,0,120,0,"2650","15","0",0,"2024-07-12 02:13:33.569335","2024-07-12 02:13:33.569335"
"25",45,8,0,104,0,"2653","14","0",0,"2024-07-12 02:14:03.874388","2024-07-12 02:14:03.874388"
"26",95,24,0,40,0,"2656","14","0",0,"2024-07-12 02:14:29.469548","2024-07-12 02:14:29.469548"
"27",95,64,0,88,0,"2659","14","0",0,"2024-07-12 02:14:48.827458","2024-07-12 02:14:48.827458"
"28",45,64,0,136,0,"2662","7","0",0,"2024-07-12 02:15:11.643892","2024-07-12 02:15:11.643892"
"29",45,240,0,128,0,"2665","7","0",0,"2024-07-12 02:15:39.852305","2024-07-12 02:15:39.852305"
"30",45,8,0,120,0,"2668","7","0",0,"2024-07-12 02:16:18.027224","2024-07-12 02:16:18.027224"
"32",95,64,0,16,0,"2617","7","0",0,"2024-07-12 02:19:10.659224","2024-07-12 02:19:10.659224"
"33",95,64,0,24,0,"2623","7","0",0,"2024-07-12 02:19:58.586903","2024-07-12 02:19:58.586903"
"34",95,64,0,16,0,"2620","7","0",0,"2024-07-12 02:20:22.833674","2024-07-12 02:20:22.833674"
"35",95,48,0,80,0,"2613","14","0",0,"2024-07-12 02:20:57.998171","2024-07-12 02:20:57.998171"
"36",95,64,0,32,0,"2615","24","0",0,"2024-07-12 02:21:32.170181","2024-07-12 02:21:32.170181"
"37",95,192,0,16,0,"2618","24","0",0,"2024-07-12 02:21:58.482788","2024-07-12 02:21:58.482788"
"38",95,8,0,16,0,"2621","7","0",0,"2024-07-12 02:22:22.212097","2024-07-12 02:22:22.212097"
"39",95,8,0,16,0,"2624","7","0",0,"2024-07-12 02:22:38.320885","2024-07-12 02:22:38.320885"
"40",95,42,0,56,0,"2627","7","0",0,"2024-07-12 02:22:57.439052","2024-07-12 02:22:57.439052"
"41",95,16,0,24,0,"2630","7","0",0,"2024-07-12 02:23:27.862804","2024-07-12 02:23:27.862804"
"42",95,24,0,32,0,"2633","7","0",0,"2024-07-12 02:23:46.33567","2024-07-12 02:23:46.33567"
"43",95,8,0,48,0,"2636","7","0",0,"2024-07-12 02:24:52.401924","2024-07-12 02:24:52.401924"
"44",45,120,0,48,0,"2639","15","0",0,"2024-07-12 02:25:11.496497","2024-07-12 02:25:11.496497"
"45",45,120,0,56,0,"2642","14","0",0,"2024-07-12 02:26:15.741801","2024-07-12 02:26:15.741801"
"46",45,40,0,200,0,"2645","7","0",0,"2024-07-12 02:28:10.972724","2024-07-12 02:28:10.972724"
"47",45,16,0,128,0,"2648","15","0",0,"2024-07-12 02:28:35.787905","2024-07-12 02:28:35.787905"
"48",45,8,0,120,0,"2651","14","0",0,"2024-07-12 02:28:58.093943","2024-07-12 02:28:58.093943"
"49",45,8,0,96,0,"2654","14","0",0,"2024-07-12 02:29:44.734968","2024-07-12 02:29:44.734968"
"50",95,40,0,24,0,"2657","15","0",0,"2024-07-12 02:30:16.351806","2024-07-12 02:30:16.351806"
"51",95,8,0,72,0,"2660","3","0",0,"2024-07-12 02:30:38.238387","2024-07-12 02:30:38.238387"
"52",45,192,0,88,0,"2663","7","0",0,"2024-07-12 02:31:09.028628","2024-07-12 02:31:09.028628"
"53",45,152,0,120,0,"2666","7","0",0,"2024-07-12 02:31:35.266046","2024-07-12 02:31:35.266046"
"54",95,112,0,8,0,"2616","7","0",0,"2024-07-12 02:32:00.155155","2024-07-12 02:32:00.155155"
"55",95,248,0,8,0,"2619","14","0",0,"2024-07-12 02:32:15.862713","2024-07-12 02:32:15.862713"
"56",95,64,0,8,0,"2622","7","0",0,"2024-07-12 02:32:32.144929","2024-07-12 02:32:32.144929"
"57",95,64,0,8,0,"2625","7","0",0,"2024-07-12 02:33:03.613731","2024-07-12 02:33:03.613731"
"58",95,32,0,32,0,"2628","7","0",0,"2024-07-12 02:33:17.408476","2024-07-12 02:33:17.408476"
"59",95,16,0,40,0,"2631","7","0",0,"2024-07-12 02:33:31.045795","2024-07-12 02:33:31.045795"
"60",95,96,0,56,0,"2634","7","0",0,"2024-07-12 02:33:50.019406","2024-07-12 02:33:50.019406"
"61",45,8,0,40,0,"2637","14","0",0,"2024-07-12 02:34:12.408282","2024-07-12 02:34:12.408282"
"62",45,120,0,48,0,"2640","15","0",0,"2024-07-12 02:34:31.059924","2024-07-12 02:34:31.059924"
"63",45,120,0,32,0,"2643","15","0",0,"2024-07-12 02:34:49.649348","2024-07-12 02:34:49.649348"
"65",45,8,0,40,0,"2646","3","0",0,"2024-07-12 02:38:12.364034","2024-07-12 02:38:12.364034"
"66",45,64,0,120,0,"2649","14","0",0,"2024-07-12 02:38:34.370665","2024-07-12 02:38:34.370665"
"67",45,64,0,112,0,"2652","14","0",0,"2024-07-12 02:39:30.099981","2024-07-12 02:39:30.099981"
"68",95,24,0,40,0,"2655","14","0",0,"2024-07-12 02:39:48.301902","2024-07-12 02:39:48.301902"
"69",95,48,0,32,0,"2658","14","0",0,"2024-07-12 02:40:19.114542","2024-07-12 02:40:19.114542"
"70",95,80,0,8,0,"2661","14","0",0,"2024-07-12 02:40:41.052172","2024-07-12 02:40:41.052172"
"71",45,120,0,144,0,"2664","7","0",0,"2024-07-12 02:41:01.130112","2024-07-12 02:41:01.130112"
"72",45,240,0,128,0,"2667","7","0",0,"2024-07-12 02:41:19.438856","2024-07-12 02:41:19.438856"
