"id","name","description","wbs","current_status","Resource","PlannedStartDate","PlannedEndDate","ActualStartDate","ActualEndDate","action","predecessor_successor","progress","assigned_to","proj_id","created_at","updated_at","ActualResource"
"1","Create project charter","","1.1",1,"","2009-04-03 00:00:00","2009-05-19 17:00:00","2009-04-01 08:00:00","2009-05-19 17:00:00","","",0,NULL,"2","2024-06-22 04:45:18.281155","2024-06-25 01:16:31.723255",NULL
"2","Define VSE","","1.1.1",1,"","2009-04-03 00:00:00","2009-04-07 17:00:00","2009-04-01 08:00:00","2009-04-07 17:00:00","","",0,NULL,"2","2024-06-22 04:45:18.371885","2024-06-25 01:17:15.158028",NULL
"3","Define scope of CVCM data governance program (in scope, out of scope)","","1.1.2",1,"","2009-04-28 08:00:00","2009-04-28 17:00:00","2009-04-28 08:00:00","2009-04-28 17:00:00","","Description",0,NULL,"2","2024-06-22 04:45:18.459336","2024-06-25 09:51:34.863847",NULL
"4","Identify and document goals","","1.1.3",1,"","2009-04-24 00:00:00","2009-04-22 17:00:00","2009-04-22 08:00:00","2009-04-22 17:00:00","","",0,NULL,"2","2024-06-22 04:45:18.545311","2024-06-26 02:42:05.805392",NULL
"5","Define value proposition ","updated","1.1.4",1,"","2009-04-27 08:00:00","2009-04-30 17:00:00","2009-04-27 08:00:00","2009-04-30 17:00:00","","",0,NULL,"2","2024-06-22 04:45:18.630382","2024-06-26 02:47:26.959132",NULL
"6","Build business case","How do we justify this program","1.1.5",1,"","2009-04-28 08:00:00","2009-05-04 17:00:00","2009-04-28 08:00:00","2009-05-07 00:00:00","","2",0,NULL,"2","2024-06-22 04:45:18.714781","2024-06-26 11:28:09.95296",NULL
"7","Identify sponsors","it's working update","1.1.6",1,"","2009-04-21 08:00:00","2009-04-21 17:00:00","2009-04-21 08:00:00","2009-04-21 17:00:00","","",0,NULL,"2","2024-06-22 04:45:18.793799","2024-06-26 02:48:45.022208",NULL
"8","Select team","","1.1.7",1,"","2009-04-13 08:00:00","2009-04-15 17:00:00","2009-04-13 08:00:00","2009-04-15 17:00:00","","",0,NULL,"2","2024-06-22 04:45:18.882714","2024-06-26 03:04:17.137392",NULL
"9","Identify team members","Description","1.1.7.1",1,"","2009-04-13 08:00:00","2009-04-14 17:00:00","2009-04-13 08:00:00","2009-04-14 17:00:00","","",0,NULL,"2","2024-06-22 04:45:18.966892","2024-06-28 21:54:16.165494",NULL
"10","Determine roles & responsibilities for team","","1.1.7.2",3,"","2009-04-15 08:00:00","2009-04-15 17:00:00","2009-04-15 08:00:00","2009-04-15 17:00:00","","",0,NULL,"2","2024-06-22 04:45:19.06268","2024-07-07 05:52:54.158388",NULL
"11","Stakeholder analysis","","1.1.8",1,"","2009-04-16 00:00:00","2009-04-23 17:00:00","2009-04-21 08:00:00","2009-04-23 17:00:00","","",0,NULL,"2","2024-06-22 04:45:19.141699","2024-06-26 11:04:18.432826",NULL
"12","Identify stakeholders","","1.1.8.1",4,"","2009-04-21 08:00:00","2009-04-23 17:00:00","2009-04-21 08:00:00","2009-04-23 17:00:00","","",0,NULL,"2","2024-06-22 04:45:19.225901","2024-07-07 05:53:01.263485",NULL
"13","Analyze the influence and impact of the stakeholders to the program design and execution","","1.1.8.2",1,"3","2009-04-21 08:00:00","2009-04-23 17:00:00","2009-04-21 08:00:00","2009-04-23 17:00:00","","",0,"3","2","2024-06-22 04:45:19.309661","2024-07-03 15:56:37.463722","4"
"14","Overall program deliverables","","1.1.9",1,"","2009-04-16 00:00:00","2009-04-29 17:00:00","2009-04-29 00:00:00","2009-04-29 17:00:00","","",0,NULL,"2","2024-06-22 04:45:19.397889","2024-06-26 04:09:41.313466",NULL
"15","Define the different components of data governance framework","","1.1.9.1",2,"","2009-04-27 08:00:00","2009-04-29 17:00:00","2009-04-27 08:00:00","2009-04-29 17:00:00","","",0,NULL,"2","2024-06-22 04:45:19.479186","2024-07-04 08:36:31.777289",NULL
"16","Define high level implementation steps","","1.1.9.1.1",2,"","2009-04-27 08:00:00","2009-04-29 17:00:00","2009-04-27 08:00:00","2009-04-29 17:00:00","","",0,NULL,"2","2024-06-22 04:45:19.566889","2024-07-04 08:36:31.450935",NULL
"17","Identify use case and POC opportunities ","","1.1.9.1.2",2,"","2009-04-27 08:00:00","2009-04-28 17:00:00","2009-04-27 08:00:00","2009-04-28 17:00:00","","",0,NULL,"2","2024-06-22 04:45:19.654876","2024-07-05 10:31:06.843083",NULL
"18","Funding","","1.1.10",1,"","2009-05-13 08:00:00","2009-05-15 17:00:00","2009-05-13 08:00:00","2009-05-15 17:00:00","","1",0,NULL,"2","2024-06-22 04:45:19.734898","2024-06-26 11:10:49.336119",NULL
